onset	duration	event_type	trial_type
9.131	n/a	S  8	stimulus
9.926	n/a	S  1	response
10.964	n/a	S  8	stimulus
11.478	n/a	S  1	response
12.797	n/a	S  8	stimulus
13.454	n/a	S  2	response
14.947	n/a	S  8	stimulus
15.454	n/a	S  2	response
16.881	n/a	S 11	n/a
18.814	n/a	S 11	n/a
19.747	n/a	S  5	stimulus
20.374	n/a	S  1	response
21.78	n/a	S  5	stimulus
22.51	n/a	S  1	response
23.814	n/a	S  5	stimulus
24.51	n/a	S  2	response
26.047	n/a	S  5	stimulus
27.03	n/a	S  2	response
28.08	n/a	S 11	n/a
30.214	n/a	S  7	stimulus
30.702	n/a	S  1	response
32.147	n/a	S  7	stimulus
32.542	n/a	S  2	response
33.98	n/a	S  7	stimulus
34.374	n/a	S  3	response
35.913	n/a	S  7	stimulus
36.358	n/a	S  1	response
37.647	n/a	S 11	n/a
39.78	n/a	S 11	n/a
40.713	n/a	S  6	stimulus
41.326	n/a	S  3	response
42.746	n/a	S  6	stimulus
43.19	n/a	S  2	response
44.98	n/a	S  6	stimulus
45.654	n/a	S  3	response
46.713	n/a	S 11	n/a
48.846	n/a	S  8	stimulus
49.422	n/a	S  3	response
51.08	n/a	S  8	stimulus
51.574	n/a	S  3	response
53.329	n/a	S  8	stimulus
53.838	n/a	S  1	response
55.363	n/a	S 11	n/a
57.296	n/a	S 11	n/a
58.229	n/a	S  7	stimulus
58.718	n/a	S  2	response
60.279	n/a	S  7	stimulus
60.694	n/a	S  3	response
62.429	n/a	S  7	stimulus
62.822	n/a	S  1	response
64.362	n/a	S 11	n/a
66.396	n/a	S  6	stimulus
66.942	n/a	S  2	response
68.546	n/a	S  6	stimulus
69.222	n/a	S  1	response
70.496	n/a	S  6	stimulus
71.23	n/a	S  1	response
72.229	n/a	S  6	stimulus
73.038	n/a	S  3	response
74.262	n/a	S 11	n/a
76.295	n/a	S  5	stimulus
77.19	n/a	S  3	response
78.229	n/a	S  5	stimulus
79.07	n/a	S  3	response
80.279	n/a	S  5	stimulus
80.83	n/a	S  1	response
82.312	n/a	S 11	n/a
84.245	n/a	S  8	stimulus
84.75	n/a	S  1	response
86.178	n/a	S  8	stimulus
86.71	n/a	S  2	response
87.912	n/a	S  8	stimulus
88.541	n/a	S  2	response
89.845	n/a	S 11	n/a
91.678	n/a	S 10	n/a
101.695	n/a	S  8	stimulus
102.277	n/a	S  3	response
103.628	n/a	S  8	stimulus
104.189	n/a	S  3	response
105.661	n/a	S  8	stimulus
106.157	n/a	S  1	response
107.794	n/a	S 11	n/a
109.628	n/a	S 11	n/a
110.561	n/a	S  7	stimulus
111.045	n/a	S  2	response
112.711	n/a	S  7	stimulus
