onset	duration	event_type	trial_type
5.032	n/a	S  5	stimulus
6.765	n/a	S  5	stimulus
7.124	n/a	S  1	response
8.298	n/a	S  5	stimulus
8.556	n/a	S  1	response
10.032	n/a	S  5	stimulus
10.252	n/a	S  1	response
11.812	n/a	S  1	response
11.865	n/a	S  5	stimulus
13.598	n/a	S  5	stimulus
13.836	n/a	S  1	response
15.331	n/a	S  5	stimulus
15.58	n/a	S  1	response
16.865	n/a	S  5	stimulus
17.156	n/a	S  1	response
18.398	n/a	S  5	stimulus
18.7	n/a	S  1	response
20.231	n/a	S  5	stimulus
20.508	n/a	S  1	response
22.164	n/a	S  5	stimulus
22.428	n/a	S  1	response
23.898	n/a	S  5	stimulus
24.228	n/a	S  1	response
25.431	n/a	S  5	stimulus
25.708	n/a	S  1	response
27.164	n/a	S  5	stimulus
27.476	n/a	S  1	response
28.897	n/a	S  5	stimulus
29.204	n/a	S  1	response
30.531	n/a	S  5	stimulus
30.86	n/a	S  1	response
32.564	n/a	S  5	stimulus
32.876	n/a	S  1	response
34.097	n/a	S  5	stimulus
34.396	n/a	S  1	response
35.93	n/a	S 10	n/a
55.946	n/a	S  5	stimulus
56.763	n/a	S  1	response
57.98	n/a	S  5	stimulus
58.307	n/a	S  1	response
59.913	n/a	S  5	stimulus
60.243	n/a	S  1	response
61.746	n/a	S  5	stimulus
62.099	n/a	S  1	response
63.679	n/a	S  5	stimulus
63.987	n/a	S  1	response
65.313	n/a	S  5	stimulus
65.603	n/a	S  1	response
67.046	n/a	S  5	stimulus
67.379	n/a	S  1	response
68.779	n/a	S  5	stimulus
69.067	n/a	S  1	response
70.512	n/a	S  5	stimulus
70.835	n/a	S  1	response
72.046	n/a	S  5	stimulus
72.355	n/a	S  1	response
73.579	n/a	S  5	stimulus
73.891	n/a	S  1	response
75.412	n/a	S  5	stimulus
75.699	n/a	S  1	response
77.245	n/a	S  5	stimulus
77.611	n/a	S  1	response
79.079	n/a	S  5	stimulus
79.475	n/a	S  1	response
80.712	n/a	S  5	stimulus
81.019	n/a	S  1	response
82.445	n/a	S  5	stimulus
82.763	n/a	S  1	response
84.478	n/a	S 10	n/a
104.494	n/a	S  5	stimulus
105.082	n/a	S  1	response
106.028	n/a	S  5	stimulus
106.338	n/a	S  1	response
107.861	n/a	S  5	stimulus
108.138	n/a	S  1	response
109.694	n/a	S  5	stimulus
109.946	n/a	S  1	response
111.227	n/a	S  5	stimulus
111.45	n/a	S  1	response
112.861	n/a	S  5	stimulus
113.122	n/a	S  1	response
113.894	n/a	S  5	stimulus
114.514	n/a	S  1	response
115.627	n/a	S  5	stimulus
115.906	n/a	S  1	response
117.261	n/a	S  5	stimulus
117.514	n/a	S  1	response
119.194	n/a	S  5	stimulus
119.466	n/a	S  1	response
121.027	n/a	S  5	stimulus
121.266	n/a	S  1	response
122.96	n/a	S  5	stimulus
123.226	n/a	S  1	response
124.794	n/a	S  5	stimulus
125.13	n/a	S  1	response
126.827	n/a	S  5	stimulus
127.098	n/a	S  1	response
128.56	n/a	S  5	stimulus
128.882	n/a	S  1	response
130.593	n/a	S  5	stimulus
130.882	n/a	S  1	response
132.427	n/a	S  5	stimulus
132.698	n/a	S  1	response
133.96	n/a	S  5	stimulus
134.282	n/a	S  1	response
135.793	n/a	S  5	stimulus
136.034	n/a	S  1	response
137.526	n/a	S  5	stimulus
137.81	n/a	S  1	response
139.26	n/a	S  5	stimulus
139.538	n/a	S  1	response
140.793	n/a	S  5	stimulus
141.081	n/a	S  1	response
142.526	n/a	S  5	stimulus
142.817	n/a	S  1	response
144.059	n/a	S  5	stimulus
144.345	n/a	S  1	response
145.593	n/a	S  5	stimulus
145.873	n/a	S  1	response
147.426	n/a	S  5	stimulus
147.745	n/a	S  1	response
149.459	n/a	S  5	stimulus
149.737	n/a	S  1	response
151.492	n/a	S  5	stimulus
151.753	n/a	S  1	response
153.326	n/a	S  5	stimulus
153.593	n/a	S  1	response
155.159	n/a	S 10	n/a
197.203	n/a	S 12	n/a
206.69	n/a	S  5	stimulus
207.208	n/a	S  1	response
208.423	n/a	S  5	stimulus
208.8	n/a	S  1	response
210.157	n/a	S  5	stimulus
210.472	n/a	S  1	response
211.89	n/a	S  5	stimulus
212.192	n/a	S  1	response
213.623	n/a	S  5	stimulus
213.904	n/a	S  1	response
215.557	n/a	S  5	stimulus
215.816	n/a	S  1	response
216.59	n/a	S  5	stimulus
218.523	n/a	S  5	stimulus
218.792	n/a	S  1	response
220.256	n/a	S  5	stimulus
220.544	n/a	S  1	response
222.29	n/a	S  5	stimulus
222.56	n/a	S  1	response
224.323	n/a	S  5	stimulus
224.576	n/a	S  1	response
225.856	n/a	S  5	stimulus
226.192	n/a	S  1	response
227.589	n/a	S  5	stimulus
227.84	n/a	S  1	response
229.623	n/a	S  5	stimulus
229.896	n/a	S  1	response
231.456	n/a	S  5	stimulus
231.768	n/a	S  1	response
233.289	n/a	S  5	stimulus
233.568	n/a	S  1	response
234.822	n/a	S  5	stimulus
235.208	n/a	S  1	response
236.856	n/a	S  5	stimulus
237.168	n/a	S  1	response
238.589	n/a	S  5	stimulus
238.903	n/a	S  1	response
240.222	n/a	S  5	stimulus
240.567	n/a	S  1	response
241.955	n/a	S  5	stimulus
242.271	n/a	S  1	response
243.889	n/a	S  5	stimulus
244.191	n/a	S  1	response
245.822	n/a	S  5	stimulus
246.119	n/a	S  1	response
247.555	n/a	S  5	stimulus
247.887	n/a	S  1	response
249.188	n/a	S  5	stimulus
249.559	n/a	S  1	response
251.022	n/a	S  5	stimulus
251.591	n/a	S  1	response
252.755	n/a	S  5	stimulus
253.071	n/a	S  1	response
254.588	n/a	S  5	stimulus
254.951	n/a	S  1	response
256.522	n/a	S 10	n/a
276.537	n/a	S  5	stimulus
277.607	n/a	S  1	response
278.171	n/a	S  5	stimulus
278.447	n/a	S  1	response
279.904	n/a	S  5	stimulus
280.159	n/a	S  1	response
281.837	n/a	S  5	stimulus
282.087	n/a	S  1	response
283.57	n/a	S  5	stimulus
283.863	n/a	S  1	response
285.204	n/a	S  5	stimulus
285.471	n/a	S  1	response
286.937	n/a	S  5	stimulus
287.19	n/a	S  1	response
288.67	n/a	S  5	stimulus
288.782	n/a	S  1	response
288.902	n/a	S  1	response
290.303	n/a	S  5	stimulus
290.534	n/a	S  1	response
292.037	n/a	S  5	stimulus
292.31	n/a	S  1	response
293.67	n/a	S  5	stimulus
294.014	n/a	S  1	response
295.703	n/a	S  5	stimulus
296.014	n/a	S  1	response
297.537	n/a	S  5	stimulus
297.846	n/a	S  1	response
299.47	n/a	S  5	stimulus
299.742	n/a	S  1	response
301.003	n/a	S  5	stimulus
301.262	n/a	S  1	response
302.936	n/a	S  5	stimulus
303.206	n/a	S  1	response
304.57	n/a	S  5	stimulus
304.878	n/a	S  1	response
306.603	n/a	S  5	stimulus
306.926	n/a	S  1	response
308.336	n/a	S  5	stimulus
308.638	n/a	S  1	response
310.069	n/a	S  5	stimulus
310.374	n/a	S  1	response
312.103	n/a	S  5	stimulus
312.382	n/a	S  1	response
313.936	n/a	S  5	stimulus
314.318	n/a	S  1	response
315.569	n/a	S  5	stimulus
315.87	n/a	S  1	response
317.302	n/a	S 10	n/a
337.318	n/a	S  5	stimulus
338.301	n/a	S  1	response
339.351	n/a	S  5	stimulus
339.701	n/a	S  1	response
341.185	n/a	S  5	stimulus
341.477	n/a	S  1	response
343.218	n/a	S  5	stimulus
343.469	n/a	S  1	response
344.851	n/a	S  5	stimulus
345.133	n/a	S  1	response
346.885	n/a	S  5	stimulus
347.149	n/a	S  1	response
348.818	n/a	S  5	stimulus
349.109	n/a	S  1	response
350.751	n/a	S  5	stimulus
351.037	n/a	S  1	response
352.284	n/a	S  5	stimulus
352.581	n/a	S  1	response
354.118	n/a	S  5	stimulus
354.381	n/a	S  1	response
355.851	n/a	S  5	stimulus
356.125	n/a	S  1	response
357.684	n/a	S  5	stimulus
357.957	n/a	S  1	response
359.517	n/a	S  5	stimulus
359.805	n/a	S  1	response
361.251	n/a	S  5	stimulus
361.541	n/a	S  1	response
363.184	n/a	S  5	stimulus
363.421	n/a	S  1	response
365.117	n/a	S  5	stimulus
365.373	n/a	S  1	response
367.15	n/a	S  5	stimulus
367.397	n/a	S  1	response
368.884	n/a	S  5	stimulus
369.157	n/a	S  1	response
370.417	n/a	S  5	stimulus
370.709	n/a	S  1	response
372.05	n/a	S  5	stimulus
372.309	n/a	S  1	response
373.783	n/a	S  5	stimulus
374.045	n/a	S  1	response
375.817	n/a	S  5	stimulus
376.093	n/a	S  1	response
377.55	n/a	S  5	stimulus
377.837	n/a	S  1	response
379.383	n/a	S  5	stimulus
379.661	n/a	S  1	response
381.216	n/a	S  5	stimulus
381.525	n/a	S  1	response
383.05	n/a	S  5	stimulus
383.365	n/a	S  1	response
384.783	n/a	S  5	stimulus
385.116	n/a	S  1	response
386.516	n/a	S 10	n/a
386.828	n/a	S  1	response
