name	type	units
Fp1	EEG	µV
Fz	EEG	µV
F3	EEG	µV
F7	EEG	µV
FT9	EEG	µV
FC5	EEG	µV
FC1	EEG	µV
C3	EEG	µV
T7	EEG	µV
TP9 LEFT EAR	EEG	µV
CP5	EEG	µV
CP1	EEG	µV
Pz	EEG	µV
P3	EEG	µV
P7	EEG	µV
O1	EEG	µV
Oz	EEG	µV
O2	EEG	µV
P4	EEG	µV
P8	EEG	µV
TP10 RIGHT EAR	EEG	µV
CP6	EEG	µV
CP2	EEG	µV
Cz	EEG	µV
C4	EEG	µV
T8	EEG	µV
FT10	EEG	µV
FC6	EEG	µV
FC2	EEG	µV
F4	EEG	µV
F8	EEG	µV
Fp2	EEG	µV
AF7	EEG	µV
AF3	EEG	µV
AFz	EEG	µV
F1	EEG	µV
F5	EEG	µV
FT7	EEG	µV
FC3	EEG	µV
C1	EEG	µV
C5	EEG	µV
TP7	EEG	µV
CP3	EEG	µV
P1	EEG	µV
P5	EEG	µV
PO7	EEG	µV
PO3	EEG	µV
POz	EEG	µV
PO4	EEG	µV
PO8	EEG	µV
P6	EEG	µV
P2	EEG	µV
CPz	EEG	µV
CP4	EEG	µV
TP8	EEG	µV
C6	EEG	µV
C2	EEG	µV
FC4	EEG	µV
FT8	EEG	µV
F6	EEG	µV
AF8	EEG	µV
AF4	EEG	µV
F2	EEG	µV
F9	EEG	µV
AFF1h	EEG	µV
FFC1h	EEG	µV
FFC5h	EEG	µV
FTT7h	EEG	µV
FCC3h	EEG	µV
CCP1h	EEG	µV
CCP5h	EEG	µV
TPP7h	EEG	µV
P9	EEG	µV
PPO9h	EEG	µV
PO9	EEG	µV
O9	EEG	µV
OI1h	EEG	µV
PPO1h	EEG	µV
CPP3h	EEG	µV
CPP4h	EEG	µV
PPO2h	EEG	µV
OI2h	EEG	µV
O10	EEG	µV
PO10	EEG	µV
PPO10h	EEG	µV
P10	EEG	µV
TPP8h	EEG	µV
CCP6h	EEG	µV
CCP2h	EEG	µV
FCC4h	EEG	µV
FTT8h	EEG	µV
FFC6h	EEG	µV
FFC2h	EEG	µV
AFF2h	EEG	µV
F10	EEG	µV
AFp1	EEG	µV
AFF5h	EEG	µV
FFT9h	EEG	µV
FFT7h	EEG	µV
FFC3h	EEG	µV
FCC1h	EEG	µV
FCC5h	EEG	µV
FTT9h	EEG	µV
TTP7h	EEG	µV
CCP3h	EEG	µV
CPP1h	EEG	µV
CPP5h	EEG	µV
TPP9h	EEG	µV
POO9h	EEG	µV
PPO5h	EEG	µV
POO1	EEG	µV
POO2	EEG	µV
PPO6h	EEG	µV
POO10h	EEG	µV
TPP10h	EEG	µV
CPP6h	EEG	µV
CPP2h	EEG	µV
CCP4h	EEG	µV
TTP8h	EEG	µV
FTT10h	EEG	µV
FCC6h	EEG	µV
FCC2h	EEG	µV
FFC4h	EEG	µV
FFT8h	EEG	µV
FFT10h	EEG	µV
AFF6h	EEG	µV
AFp2	EEG	µV
