onset	duration	event_type	trial_type
11.101	n/a	S  5	stimulus
12.584	n/a	S  7	stimulus
14.268	n/a	S  5	stimulus
15.801	n/a	S  5	stimulus
17.435	n/a	S  7	stimulus
17.816	n/a	S  1	response
18.968	n/a	S  5	stimulus
20.751	n/a	S  5	stimulus
22.484	n/a	S  6	stimulus
22.856	n/a	S  1	response
23.917	n/a	S  5	stimulus
25.651	n/a	S  7	stimulus
27.084	n/a	S  5	stimulus
28.617	n/a	S  5	stimulus
30.201	n/a	S  5	stimulus
31.734	n/a	S  6	stimulus
32.088	n/a	S  1	response
33.167	n/a	S  5	stimulus
34.6	n/a	S  5	stimulus
36.184	n/a	S  5	stimulus
37.767	n/a	S  5	stimulus
39.4	n/a	S  5	stimulus
40.834	n/a	S  6	stimulus
41.184	n/a	S  1	response
42.617	n/a	S  5	stimulus
44.25	n/a	S  5	stimulus
45.883	n/a	S  5	stimulus
47.467	n/a	S  5	stimulus
49.15	n/a	S  6	stimulus
49.544	n/a	S  1	response
50.833	n/a	S  5	stimulus
52.517	n/a	S  5	stimulus
54.35	n/a	S  5	stimulus
56.183	n/a	S  5	stimulus
57.666	n/a	S  5	stimulus
59.5	n/a	S  5	stimulus
61.283	n/a	S  5	stimulus
62.916	n/a	S  5	stimulus
64.549	n/a	S  5	stimulus
65.983	n/a	S  7	stimulus
66.343	n/a	S  1	response
67.516	n/a	S  5	stimulus
69.099	n/a	S  6	stimulus
69.447	n/a	S  1	response
70.583	n/a	S  5	stimulus
72.116	n/a	S  5	stimulus
73.949	n/a	S  6	stimulus
74.455	n/a	S  1	response
75.482	n/a	S  5	stimulus
77.182	n/a	S  6	stimulus
77.559	n/a	S  1	response
78.616	n/a	S  5	stimulus
80.149	n/a	S  5	stimulus
81.632	n/a	S  5	stimulus
83.316	n/a	S  5	stimulus
84.799	n/a	S  7	stimulus
86.632	n/a	S  5	stimulus
88.115	n/a	S  7	stimulus
89.799	n/a	S  5	stimulus
91.382	n/a	S  5	stimulus
